image,r,g,b,rgb
McM01,24.192552447484992,24.109894631947363,24.137937363517725,24.146794814316692
McM02,25.20298713104692,25.355792988509233,25.130351101899507,25.229710407151885
McM03,23.552107434063903,23.67012940434932,23.257279718633107,23.493172185682113
McM04,24.80654336933427,25.256554031705644,24.65421470303498,24.905770701358296
McM05,25.29959640052768,25.1503756165052,24.964065692669447,25.138012569900777
McM06,25.344971301972134,25.16756129736189,25.139063129587676,25.217198576307236
McM07,24.846665881332754,24.866482794883858,24.72252012695527,24.811889601057292
McM08,25.510571979151052,25.5450024569581,25.427851793127797,25.49447540974565
McM09,25.25974161351248,25.29825794894533,25.320720126674793,25.2929065630442
McM10,25.378651533527908,25.385411683573164,25.250244863019383,25.338102693373486
McM11,25.36137094213268,25.1959271061773,25.225194514972596,25.260830854427525
McM12,25.317935119226775,25.385232602915806,25.321296372048735,25.341488031397105
McM13,25.43866670942135,25.394467236056293,25.258857226394667,25.36399705729077
McM14,25.418626743611597,25.456270589892416,25.33472347561082,25.403206936371607
McM15,25.386643840361522,25.337804670641937,25.34868067580919,25.35770972893755
McM16,24.19966036389196,23.33889651560634,24.815130010130044,24.117895629876116
McM17,24.583551567288563,24.803185712134876,24.936320732095794,24.774352670506413
McM18,24.89798937167324,24.88619714486471,25.710869045408362,25.165018520648772
