image,r,g,b,rgb
McM01,27.040764270416137,27.263595073003945,27.659377417906917,27.321245587109
McM02,30.789001348374537,32.34209188494895,31.941846206847725,31.690979813390403
McM03,25.545015009820293,25.805955491407833,25.026314407300244,25.459094969509454
McM04,27.90014771762142,29.582264530012917,27.322806613531437,28.268406287055257
McM05,31.23043235072046,29.627559969459796,28.83460851278912,29.897533610989793
McM06,30.63457860842977,30.077369026841353,30.997810413968494,30.569919349746538
McM07,29.794840171085806,30.51637912484702,30.19588866635807,30.169035987430302
McM08,33.99734236291971,34.52443013013814,34.35534205125486,34.292371514770906
McM09,31.05316880492993,32.59696419004886,33.385122608259444,32.34508520107941
McM10,32.100436974727145,32.560786489097005,32.98740297272728,32.549542145517144
McM11,32.19626113556967,32.38502436494019,34.75916357026634,33.11348302359207
McM12,34.27379190467861,33.94563939316533,34.03346237922226,34.0842978923554
McM13,35.06986972263304,34.79745125994108,33.8332481613125,34.56685638129554
McM14,34.78090564933255,34.8656481410636,33.9568985653116,34.53448411856925
McM15,33.79083768785269,34.611480709238656,34.9146464901886,34.43898829575998
McM16,24.49520333578658,23.06047526442764,29.93676819839132,25.830815599535182
McM17,25.298201076153326,27.57977023293911,28.48579110557516,27.121254138222536
McM18,27.49181256944356,27.819234485355867,32.30463344108863,29.205226831962687
